Âmbito Geográfico;Local;2001;2009;2010;2011;2012;2013;2014;2015;2016;2017;2001;2009;2010;2011;2012;2013;2014;2015;2016;2017;2001;2009;2010;2011;2012;2013;2014;2015;2016;2017
NUTS 2013;Portugal;76,7;79,3;79,6;79,8;80;80,2;80,4;80,6;80,8;80,8;73,3;76,2;76,5;76,7;76,9;77,2;77,4;77,6;77,7;77,8;80,1;82,2;82,4;82,6;82,8;83;83,2;83,3;83,4;83,4
NUTS I;Continente;76,9;79,4;79,7;79,9;80,1;80,4;80,6;80,8;81;81;73,5;76,3;76,6;76,8;77,1;77,4;77,5;77,8;78;78;80,2;82,4;82,7;82,8;82,9;83,2;83,4;83,5;83,6;83,6
NUTS II;Norte;77,1;79,6;80;80,1;80,3;80,6;80,7;81;81,1;81,2;73,7;76,7;76,9;77,1;77,4;77,5;77,7;78,1;78,2;78,3;80,2;82,4;82,8;82,9;83;83,2;83,4;83,6;83,7;83,8
NUTS II;Centro;77,4;79,6;79,9;80,1;80,2;80,6;80,8;81;81,1;81,1;74,2;76,5;76,8;77,1;77,1;77,4;77,7;78,1;78,2;78,2;80,4;82,4;82,7;82,9;83,1;83,4;83,5;83,7;83,7;83,7
NUTS II;Área Metropolitana de Lisboa;76,4;79,3;79,5;79,7;80;80,3;80,5;80,7;80,9;80,9;72,8;75,9;76,2;76,5;76,9;77,1;77,4;77,7;78;78;79,7;82,3;82,4;82,5;82,8;83,1;83,2;83,3;83,4;83,5
NUTS II;Alentejo;76,7;78,6;79;79,3;79,5;79,8;80;80;80,2;80,2;73,3;75,5;76;76,4;76,3;76,9;77,1;77,1;77,3;77,3;79,9;81,5;81,9;82;82,2;82,6;82,7;82,7;82,8;82,9
NUTS II;Algarve;76,6;78,9;79,4;79,7;80;80,2;80,4;80,3;80,2;79,9;72,8;75,6;76,1;76,4;76,7;77,2;77,2;77;76,7;76,5;80,3;82,2;82,6;82,9;83;83;83,3;83,5;83,4;83,1
NUTS I;Região Autónoma dos Açores;73,6;75,9;76;76,3;76,5;76,8;77,2;77,3;77,5;77,9;70;72,2;72,3;72,8;72,8;73,1;73,4;73,7;73,9;74,3;77,2;79,4;79,7;79,9;80;80,3;80,7;80,8;81;81,3
NUTS II;Região Autónoma dos Açores;73,6;75,9;76;76,3;76,5;76,8;77,2;77,3;77,5;77,9;70;72,2;72,3;72,8;72,8;73,1;73,4;73,7;73,9;74,3;77,2;79,4;79,7;79,9;80;80,3;80,7;80,8;81;81,3
NUTS I;Região Autónoma da Madeira;73,3;76,1;76,5;77;77,5;77,7;77,8;78;78,2;78,3;68,6;71,9;72,7;73,2;73,4;73,6;73,7;74;74,3;74,3;77,2;79,7;79,7;80,3;80,9;81,1;81,2;81,4;81,4;81,4
NUTS II;Região Autónoma da Madeira;73,3;76,1;76,5;77;77,5;77,7;77,8;78;78,2;78,3;68,6;71,9;72,7;73,2;73,4;73,6;73,7;74;74,3;74,3;77,2;79,7;79,7;80,3;80,9;81,1;81,2;81,4;81,4;81,4
